field,index,value
SDPval,0,4.70499e+07
SDPval,1,3767.36
SDPval,2,3767.35
SDPval,3,3685.89
SDPval,4,3894.12
gradnorm,0,0.39427
startingRank,0,2
endingRank,0,5
initialization_time,0,0.002
elapsed_optimization_times,0,0.111
elapsed_optimization_times,1,0.18
elapsed_optimization_times,2,0
elapsed_optimization_times,3,0.202
elapsed_optimization_times,4,0.004
verification_times,0,0.001
verification_times,1,0.005
verification_times,2,0.001
verification_times,3,0.001
FinalOptimizationTime,0,0.497
FinalTotalTime,0,0.517
