field,index,value
SDPval,0,1.69801e+08
SDPval,1,3040.31
SDPval,2,3040.31
SDPval,3,3040.28
SDPval,4,3110.07
gradnorm,0,0.194274
startingRank,0,2
endingRank,0,5
initialization_time,0,0.175
elapsed_optimization_times,0,4.562
elapsed_optimization_times,1,7.383
elapsed_optimization_times,2,0.609
elapsed_optimization_times,3,1.618
elapsed_optimization_times,4,0.979
verification_times,0,0.079
verification_times,1,0.59
verification_times,2,0.402
verification_times,3,0.039
FinalOptimizationTime,0,15.151
FinalTotalTime,0,16.699
